timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616242288952,339,HTTP Request,200,OK,Thread Group 1-1,text,true,,15037,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,324,0,171
1616242289040,252,HTTP Request,200,OK,Thread Group 1-2,text,true,,15035,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,197,0,85
1616242289296,91,HTTP Request,200,OK,Thread Group 1-1,text,true,,15023,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,87,0,0
1616242289295,100,HTTP Request,200,OK,Thread Group 1-2,text,true,,15006,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
1616242289388,94,HTTP Request,200,OK,Thread Group 1-1,text,true,,15031,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,90,0,0
1616242289396,98,HTTP Request,200,OK,Thread Group 1-2,text,true,,14996,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242289230,278,HTTP Request,200,OK,Thread Group 1-3,text,true,,15064,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,245,0,76
1616242289482,89,HTTP Request,200,OK,Thread Group 1-1,text,true,,15013,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,84,0,0
1616242289428,157,HTTP Request,200,OK,Thread Group 1-4,text,true,,15051,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,125,0,35
1616242289495,101,HTTP Request,200,OK,Thread Group 1-2,text,true,,15036,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242289510,103,HTTP Request,200,OK,Thread Group 1-3,text,true,,15012,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,99,0,0
1616242289572,128,HTTP Request,200,OK,Thread Group 1-1,text,true,,15059,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,118,0,0
1616242289586,119,HTTP Request,200,OK,Thread Group 1-4,text,true,,15069,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,118,0,0
1616242289597,110,HTTP Request,200,OK,Thread Group 1-2,text,true,,15028,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,108,0,0
1616242289614,97,HTTP Request,200,OK,Thread Group 1-3,text,true,,15006,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,95,0,0
1616242289701,133,HTTP Request,200,OK,Thread Group 1-1,text,true,,14994,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
